Ferramenta,tempoDeExecucao,totalBytes
REST,3.4095335006713867,549364
REST,3.627232551574707,549364
REST,3.0867395401000977,549364
REST,3.7422146797180176,549364
REST,8.375953912734985,1103145
REST,7.170736789703369,1103145
REST,7.672611951828003,1103145
REST,8.098591089248657,1103145
REST,8.36672830581665,1103145
