Ferramenta,tempoDeExecucao,totalBytes
GraphQl,2.632202625274658,10194
GraphQl,2.216919422149658,10194
GraphQl,2.4171926975250244,10194
GraphQl,2.7099013328552246,10194
GraphQl,2.402735948562622,10194
GraphQl,2.234973192214966,10194
GraphQl,2.6780545711517334,10194
GraphQl,2.5827996730804443,10194
GraphQl,2.454183578491211,10194
GraphQl,2.358529567718506,10194
GraphQl,2.732145309448242,10194
GraphQl,2.195683717727661,10194
GraphQl,2.4010605812072754,10194
GraphQl,2.5455644130706787,10194
GraphQl,2.7468533515930176,10194
GraphQl,2.5540566444396973,10194
GraphQl,2.065121650695801,10194
GraphQl,2.1832733154296875,10194
GraphQl,2.2963273525238037,10194
GraphQl,2.0657122135162354,10194
GraphQl,2.412090539932251,10194
GraphQl,2.578852415084839,10194
GraphQl,2.6159861087799072,10194
GraphQl,2.7563605308532715,10194
GraphQl,2.805940628051758,10194
