nameWithOwner,createdAt,stargazerCount,commitCount
SeleniumHQ/selenium,2013-01-14T21:40:56Z,29682,31833
doocs/leetcode,2018-09-16T14:03:03Z,29590,9748
alibaba/nacos,2018-06-15T06:49:27Z,29369,5009
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,29156,11224
apolloconfig/apollo,2016-03-04T10:24:23Z,28901,2884
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,28815,2110
dromara/hutool,2014-04-13T07:23:51Z,28591,5146
alibaba/canal,2013-01-13T10:59:52Z,28005,1644
wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,27961,140
alibaba/druid,2011-11-03T05:12:51Z,27724,7384
apache/kafka,2011-08-15T18:06:16Z,27720,13152
alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,27492,2543
lenve/vhr,2018-01-04T08:57:51Z,27148,161
crossoverJie/JCSprout,2017-12-17T09:06:50Z,27072,713
xuxueli/xxl-job,2015-11-28T12:59:34Z,26858,1739
qiurunze123/miaosha,2018-09-14T04:36:24Z,26101,250
alibaba/fastjson,2011-11-03T06:58:52Z,25673,3983
JakeWharton/butterknife,2013-03-05T08:18:59Z,25562,1016
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,25289,6784
hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,25230,274
signalapp/Signal-Android,2011-12-15T20:01:12Z,25108,14800
apache/incubator-seata,2018-12-28T08:37:22Z,25046,1940
proxyee-down-org/proxyee-down,2017-10-25T10:07:27Z,24955,475
scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,24763,1149
greenrobot/EventBus,2012-07-16T16:55:40Z,24618,550
DrKLO/Telegram,2013-10-25T14:08:10Z,23991,527
Netflix/Hystrix,2012-11-19T20:14:46Z,23954,2119
apache/skywalking,2015-11-07T03:30:36Z,23435,8001
apache/flink,2014-06-07T07:00:10Z,23405,35492
google/gson,2015-03-19T18:21:20Z,23075,2017
redisson/redisson,2014-01-11T14:06:25Z,22913,9357
libgdx/libgdx,2012-08-10T19:34:38Z,22879,15365
bazelbuild/bazel,2014-06-12T16:00:38Z,22626,40074
jenkinsci/jenkins,2010-11-22T21:21:23Z,22607,35068
alibaba/Sentinel,2018-04-04T06:37:33Z,22107,828
google/ExoPlayer,2014-06-13T21:19:18Z,21579,18874
Anuken/Mindustry,2017-04-30T01:24:29Z,21499,17739
elunez/eladmin,2018-12-14T08:54:24Z,21009,562
doocs/source-code-hunter,2019-10-28T01:35:10Z,20851,615
apache/rocketmq,2016-11-30T08:00:08Z,20729,8485
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,20705,184
keycloak/keycloak,2013-07-02T13:38:51Z,20673,25307
OpenAPITools/openapi-generator,2018-05-12T09:57:56Z,20420,20203
didi/DoKit,2018-08-14T10:32:07Z,20004,2340
oracle/graal,2016-01-14T17:11:35Z,19932,83336
ReactiveX/RxAndroid,2014-08-19T03:46:38Z,19869,553
CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,19831,1535
brettwooldridge/HikariCP,2013-10-08T05:43:03Z,19585,2855
apache/shardingsphere,2016-01-18T12:49:26Z,19573,42749
mybatis/mybatis-3,2013-02-14T19:03:32Z,19508,5032
iBotPeaches/Apktool,2012-03-19T17:46:53Z,19233,2155
