nameWithOwner,createdAt,stargazerCount,commitCount
doocs/source-code-hunter,2019-10-28T01:35:10Z,20851,615
apache/rocketmq,2016-11-30T08:00:08Z,20727,8485
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,20705,184
keycloak/keycloak,2013-07-02T13:38:51Z,20671,25303
OpenAPITools/openapi-generator,2018-05-12T09:57:56Z,20417,20202
didi/DoKit,2018-08-14T10:32:07Z,20004,2340
oracle/graal,2016-01-14T17:11:35Z,19930,83325
ReactiveX/RxAndroid,2014-08-19T03:46:38Z,19869,553
CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,19831,1535
brettwooldridge/HikariCP,2013-10-08T05:43:03Z,19583,2855
apache/shardingsphere,2016-01-18T12:49:26Z,19573,42748
mybatis/mybatis-3,2013-02-14T19:03:32Z,19507,5032
iBotPeaches/Apktool,2012-03-19T17:46:53Z,19230,2155
linlinjava/litemall,2018-03-22T16:42:30Z,18990,1186
openjdk/jdk,2018-09-17T12:29:20Z,18797,78898
Baseflow/PhotoView,2012-07-17T16:39:00Z,18703,462
yudaocode/SpringBoot-Labs,2018-09-12T14:51:46Z,18644,678
dianping/cat,2012-12-05T02:31:48Z,18491,7412
forezp/SpringCloudLearning,2017-04-08T10:06:56Z,17790,72
LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,17120,1333
Tencent/tinker,2016-09-06T06:57:52Z,17094,842
facebook/fresco,2015-03-02T09:58:04Z,17054,3843
yuliskov/SmartTube,2020-07-28T12:53:52Z,16888,9797
Tencent/APIJSON,2016-11-21T12:03:29Z,16863,3197
openzipkin/zipkin,2012-06-06T18:26:16Z,16807,2944
nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,16794,1039
williamfiset/Algorithms,2017-03-18T02:50:46Z,16724,1631
winterbe/java8-tutorial,2014-03-16T17:25:43Z,16681,150
shuzheng/zheng,2016-10-04T10:07:06Z,16646,1241
